gene_id	fraction_samples
ENSG00000022556.16	0.975
ENSG00000022567.10	1.0
ENSG00000022840.17	1.0
ENSG00000022976.16	1.0
ENSG00000023041.12	1.0
ENSG00000023171.20	1.0
ENSG00000023191.17	1.0
ENSG00000023228.15	1.0
ENSG00000023287.13	1.0
ENSG00000023318.9	1.0
ENSG00000023330.15	1.0
ENSG00000023445.17	1.0
ENSG00000023516.9	1.0
ENSG00000023572.10	1.0
ENSG00000023608.5	1.0
ENSG00000023697.13	1.0
ENSG00000023734.11	1.0
ENSG00000023839.12	0.9875
ENSG00000023892.12	1.0
ENSG00000023902.14	1.0
ENSG00000023909.10	1.0
ENSG00000024048.11	1.0
ENSG00000024422.12	1.0
ENSG00000024526.17	1.0
ENSG00000024862.18	1.0
ENSG00000025039.15	1.0
ENSG00000025156.13	1.0
ENSG00000025293.17	1.0
ENSG00000025423.11	0.975
ENSG00000025434.19	1.0
ENSG00000025708.14	1.0
ENSG00000025770.19	1.0
ENSG00000025772.8	1.0
ENSG00000025796.14	1.0
ENSG00000025800.14	1.0
ENSG00000026025.16	1.0
ENSG00000026103.25	1.0
ENSG00000026297.17	1.0
ENSG00000026508.21	1.0
ENSG00000026559.14	0.9875
ENSG00000026652.15	1.0
ENSG00000026751.17	0.9375
ENSG00000026950.18	1.0
ENSG00000027001.10	1.0
ENSG00000027075.18	1.0
ENSG00000027697.16	1.0
ENSG00000027847.14	1.0
ENSG00000027869.13	1.0
ENSG00000028116.18	1.0
ENSG00000028137.19	1.0
ENSG00000028203.19	1.0
ENSG00000028277.22	1.0
ENSG00000028310.18	1.0
ENSG00000028528.15	1.0
ENSG00000028839.10	1.0
ENSG00000029153.15	1.0
ENSG00000029363.17	1.0
ENSG00000029364.12	1.0
ENSG00000029534.22	1.0
ENSG00000029639.11	1.0
ENSG00000029725.17	1.0
ENSG00000029993.15	1.0
ENSG00000030066.14	1.0
ENSG00000030110.14	1.0
ENSG00000030304.15	0.9875
ENSG00000030419.17	1.0
ENSG00000030582.19	1.0
ENSG00000031003.11	1.0
ENSG00000031081.11	1.0
ENSG00000031691.7	1.0
ENSG00000031698.13	1.0
ENSG00000031823.14	1.0
ENSG00000032219.19	1.0
ENSG00000032389.13	1.0
ENSG00000032444.17	1.0
ENSG00000032742.18	1.0
ENSG00000033011.14	1.0
ENSG00000033030.16	1.0
ENSG00000033050.9	1.0
ENSG00000033100.17	1.0
ENSG00000033122.21	1.0
ENSG00000033170.17	1.0
ENSG00000033178.13	1.0
ENSG00000033327.13	1.0
ENSG00000033627.18	1.0
ENSG00000033800.14	1.0
ENSG00000033867.18	1.0
ENSG00000034053.15	1.0
ENSG00000034152.20	1.0
ENSG00000034510.6	1.0
ENSG00000034533.12	1.0
ENSG00000034677.13	1.0
ENSG00000034693.15	1.0
ENSG00000034713.8	1.0
ENSG00000035115.22	1.0
ENSG00000035141.10	1.0
ENSG00000035403.18	1.0
ENSG00000035499.13	0.9875
ENSG00000035664.11	1.0
ENSG00000035681.10	1.0
ENSG00000035687.10	1.0
ENSG00000035862.13	1.0
ENSG00000035928.17	1.0
ENSG00000036054.13	1.0
ENSG00000036257.14	1.0
ENSG00000036448.10	1.0
ENSG00000036473.9	0.9125
ENSG00000036530.9	0.9875
ENSG00000036549.13	1.0
ENSG00000036672.16	1.0
ENSG00000037042.9	1.0
ENSG00000037241.7	1.0
ENSG00000037280.16	1.0
ENSG00000037474.15	1.0
ENSG00000037637.11	1.0
ENSG00000037749.13	1.0
ENSG00000037757.14	1.0
ENSG00000037897.17	1.0
ENSG00000038002.9	1.0
ENSG00000038210.14	1.0
ENSG00000038219.13	1.0
ENSG00000038274.18	1.0
ENSG00000038295.8	1.0
ENSG00000038358.15	1.0
ENSG00000038382.23	1.0
ENSG00000038427.16	1.0
ENSG00000038532.17	1.0
ENSG00000038945.15	0.9875
ENSG00000039068.20	0.9875
ENSG00000039123.16	1.0
ENSG00000039139.11	1.0
ENSG00000039319.17	1.0
ENSG00000039523.20	1.0
ENSG00000039537.16	0.9375
ENSG00000039560.14	1.0
ENSG00000039650.12	1.0
ENSG00000040199.18	1.0
ENSG00000040275.17	1.0
ENSG00000040341.18	1.0
ENSG00000040487.13	1.0
ENSG00000040531.16	1.0
ENSG00000040608.14	0.975
ENSG00000040633.13	1.0
ENSG00000040933.17	1.0
ENSG00000041353.10	1.0
ENSG00000041357.16	1.0
ENSG00000041515.16	0.9875
ENSG00000041802.11	1.0
ENSG00000041880.15	1.0
ENSG00000041982.17	1.0
ENSG00000041988.16	1.0
ENSG00000042062.13	1.0
ENSG00000042088.14	1.0
ENSG00000042286.15	1.0
ENSG00000042317.17	1.0
ENSG00000042429.12	1.0
ENSG00000042445.14	1.0
